32188,32574,25536,97,30308,30281,6891,22554
24940,22490,21509,23706,23169,30631,6723,21881
21685,22878,20620,21923,22748,30045,5994,20842
21564,22812,19840,22555,24952,33489,6992,21743
23386,23054,18727,18130,23866,35672,7043,21411
23501,23391,21673,22712,25296,32700,6918,22313
23219,23100,22170,24100,27927,32689,6613,22831
25110,25483,23955,22417,28585,30690,5458,23100
22580,22411,23200,21983,28418,34565,6801,22851
22516,23708,23130,22886,26397,35124,6642,22915
21148,24771,22098,24677,26019,41094,5358,23595
23357,23071,21837,22539,24859,32464,7323,22207
23048,22949,21385,21239,27066,32291,6504,22069
25255,23681,25327,31026,16664,35735,53,22534
9848,27811,25254,25168,27169,27238,5402,21127
24339,24198,22948,23422,27486,29923,5551,22552
24452,23908,22701,23295,25538,32808,7257,22851
23754,23101,22672,23918,28132,35020,7315,23416
10167,24282,20538,24633,25163,31569,6498,20407
23330,22881,22262,22535,25649,31662,6454,22110
21537,21999,21841,23380,27210,31126,6215,21901
8709,26575,24574,24677,27648,30056,6001,21177
23092,23117,22733,22443,24841,30174,5960,21766
21791,22421,22342,22295,24847,30269,6517,21497
23720,23383,21566,23342,26384,34837,5709,22706
21939,21903,21417,22285,25959,31447,6932,21697
22885,22357,20924,22433,25711,30199,7044,21650
21815,22832,20646,22089,25014,30960,7276,21519
21822,23546,22059,23707,25754,30456,6016,21909
24511,24394,22664,24089,27001,28148,5499,22329
23647,23985,23862,23792,27841,28836,6393,22622
24833,24174,23223,23744,26073,26262,5486,21971
24386,23600,22352,23294,22583,28643,5611,21496
23871,24045,22947,24467,27013,30174,6106,22660
24778,24603,24342,26136,29782,31560,6234,23919
10257,29749,23851,22745,25560,31162,8425,21678
23939,22882,21739,22043,24478,28342,5929,21336
22529,22301,21720,18808,21164,23517,4832,19267
21530,23344,22306,22258,25533,32834,6757,22080
23515,21071,22986,23926,25843,32774,6830,22421
21618,22947,21417,23051,27532,32820,7209,22371
23260,22574,18084,22544,25492,31744,6740,21491
23010,23925,20150,22358,26733,29937,6940,21865
26361,26417,24683,24444,31439,30958,6241,24363
22760,24005,22798,22486,24901,31535,7804,22327
19997,26524,23249,25961,24508,30834,12811,23412
24318,23928,21702,22998,26063,34302,10515,23404
25068,24512,24762,27598,31242,36467,7589,25320
22344,24555,22571,25629,27962,33007,13859,24275
28380,28928,24946,30609,31663,44247,15845,29231
32253,32316,31114,36643,38137,48727,20269,34208
47061,44508,22571,25629,0,33007,7248,25718
,,,,,,,
,,,,,,22710,
