28575,29231,26250,29275,29202,31979,11556
26069,29231,23064,23330,27605,34511,6308
24616,24045,22577,24489,26077,32312,6741
24124,23862,21986,22571,24080,33399,5794
24194,23218,23094,24150,23347,24080,7210
24538,25070,20424,24611,26937,33927,6870
24855,23511,21333,27872,29507,37507,10037
27492,26677,25225,27012,29997,31119,5858
24336,24394,25204,25440,29549,36430,6696
24209,26484,25034,25175,27044,37792,6400
24668,24478,23477,23077,27802,34233,6181
24687,22600,24201,23390,26846,34033,6870
25657,24489,25386,25045,29221,44495,5511
23967,24637,23006,24764,26765,31060,6426
25834,27311,25776,26292,29572,30861,5437
27017,27226,27430,32924,15621,34757,79
9939,28150,24735,24444,27003,35340,7099
25841,25256,24822,25213,31149,36386,6543
9694,27070,23487,24207,26287,35069,6530
24253,23684,23865,24759,27229,32192,6524
24559,24678,24594,25298,28566,35641,7741
9966,28934,24801,26582,31464,32809,6096
26299,25288,23884,28432,28432,30823,7072
24341,25360,24375,25890,28446,35825,5954
24396,24501,23423,24714,26815,32476,6375
23972,23643,23702,25374,27483,36017,7076
25164,25521,24067,24671,26245,33783,6648
24468,24927,23116,26334,26959,34452,7539
25069,25375,24382,25879,27746,33281,7756
26572,26048,24502,24830,27738,29622,6556
27430,25849,25428,27122,27633,33138,7019
27241,25929,24958,27444,29110,30200,5658
25747,25543,24575,26645,29034,33554,6942
26419,27330,26344,27832,32034,33302,6588
9826,29664,28043,28755,32551,35398,7440
29582,25965,24599,24676,26495,24285,8604
24432,24543,23152,24937,25524,33042,6469
24285,24126,24012,26804,27692,32945,6527
24490,25066,23713,23638,27445,35751,7304
24130,24750,23850,25324,26614,32849,7077
21007,23233,23811,24392,27290,34105,7550
23529,23877,24023,24026,26540,33984,6944
23485,21116,22924,24107,26544,33009,7593
27030,28086,26604,27823,30756,29963,6985
23882,23993,22678,22121,25298,34694,9296
26124,25444,24380,27609,26675,37781,20583
25539,26795,25571,28352,28210,37442,11104
27219,28790,26190,29393,35847,41391,13917
30401,29422,27236,31090,32145,45320,14105
28917,29476,25420,31199,32275,45313,16143
32869,32937,31700,37352,38879,49687,20662
47974,45379,40903,76,19184,34266,10959
32188,32574,25536,97,30308,30281,6891
24940,22490,21509,23706,23169,30631,6723
21685,22878,20620,21923,22748,30045,5994
21564,22812,19840,22555,24952,33489,6992
23386,23054,18727,18130,23866,35672,7043
23501,23391,21673,22712,25296,32700,6918
23219,23100,22170,24100,27927,32689,6613
25110,25483,23955,22417,28585,30690,5458
22580,22411,23200,21983,28418,34565,6801
22516,23708,23130,22886,26397,35124,6642
21148,24771,22098,24677,26019,41094,5358
23357,23071,21837,22539,24859,32464,7323
23048,22949,21385,21239,27066,32291,6504
25255,23681,25327,31026,16664,35735,53
9848,27811,25254,25168,27169,27238,5402
24339,24198,22948,23422,27486,29923,5551
24452,23908,22701,23295,25538,32808,7257
23754,23101,22672,23918,28132,35020,7315
10167,24282,20538,24633,25163,31569,6498
23330,22881,22262,22535,25649,31662,6454
21537,21999,21841,23380,27210,31126,6215
8709,26575,24574,24677,27648,30056,6001
23092,23117,22733,22443,24841,30174,5960
21791,22421,22342,22295,24847,30269,6517
23720,23383,21566,23342,26384,34837,5709
21939,21903,21417,22285,25959,31447,6932
22885,22357,20924,22433,25711,30199,7044
21815,22832,20646,22089,25014,30960,7276
21822,23546,22059,23707,25754,30456,6016
24511,24394,22664,24089,27001,28148,5499
23647,23985,23862,23792,27841,28836,6393
24833,24174,23223,23744,26073,26262,5486
24386,23600,22352,23294,22583,28643,5611
23871,24045,22947,24467,27013,30174,6106
24778,24603,24342,26136,29782,31560,6234
10257,29749,23851,22745,25560,31162,8425
23939,22882,21739,22043,24478,28342,5929
22529,22301,21720,18808,21164,23517,4832
21530,23344,22306,22258,25533,32834,6757
23515,21071,22986,23926,25843,32774,6830
21618,22947,21417,23051,27532,32820,7209
23260,22574,18084,22544,25492,31744,6740
23010,23925,20150,22358,26733,29937,6940
26361,26417,24683,24444,31439,30958,6241
22760,24005,22798,22486,24901,31535,7804
19997,26524,23249,25961,24508,30834,12811
24318,23928,21702,22998,26063,34302,10515
25068,24512,24762,27598,31242,36467,7589
22344,24555,22571,25629,27962,33007,13859
28380,28928,24946,30609,31663,44247,15845
32253,32316,31114,36643,38137,48727,20269
47061,44508,22571,25629,0,33007,7248
26440,22077,21121,23270,22744,30079,6634
21290,22451,20249,21524,22329,29467,5912
21164,22395,19480,22143,24488,32853,6890
22950,22624,18388,17805,23420,34985,6940
23061,22952,21268,22289,24828,32077,6815
22784,22661,21750,23648,27400,32079,6523
24648,25000,23523,22001,28063,30110,5387
22168,21995,22762,21585,27879,33905,6701
22107,23266,22697,22471,25909,34455,6544
20765,24304,21691,24212,25530,40303,5291
22944,22644,21431,22121,24395,31852,7211
22620,22530,22432,22245,28419,31676,7589
10002,24120,25800,31614,16959,36416,7702
10113,28329,25712,25630,27678,27734,5474
23881,23751,22537,22985,26969,29358,5480
18674,24555,19251,19207,21264,26474,5813
19091,20365,19781,19623,20654,30407,5974
8970,22357,20471,20352,21810,25726,5222
19491,19537,19375,19424,22084,26624,5650
19021,19805,18172,19763,22347,26635,5898
19955,19421,19315,19826,24284,27285,5496
7392,23926,21424,21427,23267,26005,5053
19846,19253,19538,19490,21508,26632,6851
18045,20442,20254,18835,23375,29997,5246
18511,19770,18443,19640,20989,27449,5979
19482,19128,17089,20785,22224,26713,6446
19006,20626,17359,18798,20269,26932,6348
17108,19835,18216,17980,21762,28854,6088
19459,18074,18489,20479,22269,24999,5993
20446,20133,19452,19282,23364,24283,5817
20743,20838,19805,19646,22218,22377,5111
19010,19851,19405,16480,22676,24294,4770
17776,19422,18516,18746,18992,25393,5286
19641,21646,19666,21219,22339,25286,5602
7884,23371,22022,22824,24521,26358,10584
23386,21004,18943,17709,20980,24616,5554
19079,18874,18629,18960,20394,24761,5469
19285,19442,18310,19660,21238,25134,5986
18450,19289,19115,19126,21995,26583,5939
19962,18865,19040,19101,20567,24707,5591
18887,18398,18104,18276,21004,25739,8586
18581,17485,18038,19627,20768,25081,5817
20074,19937,19216,20252,24128,24901,5417
20363,19732,19170,19649,21207,26658,6145
20216,19620,18798,18732,23312,27894,7553
19576,20401,17599,19520,18059,26188,11497
18027,21078,20725,21298,26207,30972,9996
22947,20350,20442,19952,24559,29660,10172
21398,20683,22170,22957,24087,33706,11771
23781,23759,23676,26696,26591,35557,14474
27550,24515,28263,33747,37695,13624,50
23080,26546,25047,23854,26724,24088,63
19708,21440,20869,21394,19204,22437,4866
17343,17440,16163,14639,16849,22907,4849
16700,16610,16471,14957,18006,22458,4684
16269,15990,15808,15248,17438,23031,5148
17140,16935,17352,16831,19865,25632,5280
17345,19313,23144,16880,19313,23144,4942
