26440,22077,21121,23270,22744,30079,6634,21766
21290,22451,20249,21524,22329,29467,5912,20460
21164,22395,19480,22143,24488,32853,6890,21345
22950,22624,18388,17805,23420,34985,6940,21016
23061,22952,21268,22289,24828,32077,6815,21899
22784,22661,21750,23648,27400,32079,6523,22406
24648,25000,23523,22001,28063,30110,5387,22676
22168,21995,22762,21585,27879,33905,6701,22428
22107,23266,22697,22471,25909,34455,6544,22493
20765,24304,21691,24212,25530,40303,5291,23157
22944,22644,21431,22121,24395,31852,7211,21800
22620,22530,22432,22245,28419,31676,7589,22502
10002,24120,25800,31614,16959,36416,7702,21802
10113,28329,25712,25630,27678,27734,5474,21524
23881,23751,22537,22985,26969,29358,5480,22137
18674,24555,19251,19207,21264,26474,5813,19320
19091,20365,19781,19623,20654,30407,5974,19414
8970,22357,20471,20352,21810,25726,5222,17844
19491,19537,19375,19424,22084,26624,5650,18884
19021,19805,18172,19763,22347,26635,5898,18806
19955,19421,19315,19826,24284,27285,5496,19369
7392,23926,21424,21427,23267,26005,5053,18356
19846,19253,19538,19490,21508,26632,6851,19017
18045,20442,20254,18835,23375,29997,5246,19456
18511,19770,18443,19640,20989,27449,5979,18683
19482,19128,17089,20785,22224,26713,6446,18838
19006,20626,17359,18798,20269,26932,6348,18477
17108,19835,18216,17980,21762,28854,6088,18549
19459,18074,18489,20479,22269,24999,5993,18537
20446,20133,19452,19282,23364,24283,5817,18968
20743,20838,19805,19646,22218,22377,5111,18677
19010,19851,19405,16480,22676,24294,4770,18069
17776,19422,18516,18746,18992,25393,5286,17733
19641,21646,19666,21219,22339,25286,5602,19343
7884,23371,22022,22824,24521,26358,10584,19652
23386,21004,18943,17709,20980,24616,5554,18885
19079,18874,18629,18960,20394,24761,5469,18024
19285,19442,18310,19660,21238,25134,5986,18436
18450,19289,19115,19126,21995,26583,5939,18642
19962,18865,19040,19101,20567,24707,5591,18262
18887,18398,18104,18276,21004,25739,8586,18428
18581,17485,18038,19627,20768,25081,5817,17914
20074,19937,19216,20252,24128,24901,5417,19132
20363,19732,19170,19649,21207,26658,6145,18989
20216,19620,18798,18732,23312,27894,7553,19446
19576,20401,17599,19520,18059,26188,11497,18977
18027,21078,20725,21298,26207,30972,9996,21186
22947,20350,20442,19952,24559,29660,10172,21155
21398,20683,22170,22957,24087,33706,11771,22396
23781,23759,23676,26696,26591,35557,14474,24933
27550,24515,28263,33747,37695,13624,50,23635
23080,26546,25047,23854,26724,24088,63,21343
,,,,,,,
,,,,,,20100,
