14633,43,13345,13968,16315,18371,3781,11494,,,
15337,14036,12657,11819,16161,17867,3833,13101,,,
15670,13074,13656,15950,14698,18743,4344,13734,,,
16077,13044,13692,14261,17189,22089,4717,14438,,,
16270,12806,10083,15152,16398,19159,5121,13570,,,
15926,15273,15998,13160,16303,20001,5023,14526,,,
17237,16346,16394,16270,17340,20180,4888,15522,,,
15854,15155,15414,16033,18283,20357,4499,15085,,,
17177,16552,16146,15814,18697,20743,5009,15734,,,
16284,16159,15167,12707,17185,19846,4760,14587,,,
16342,13983,13578,15178,17092,18188,6069,14347,,,
16334,16683,15960,15891,16993,21676,4968,15501,,,
16438,16574,16616,17199,19410,26224,4134,16656,,,
16355,14791,15247,15708,19099,21621,5133,15422,,,
17507,16687,16446,16020,18016,27862,4376,16702,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
0,0,0,0,0,0,0,0,,,
